Unique_Investment_Identifier,Investment_type,Sub-Function,Business_Function,Business_Area,Service_Component,Service,Service_Area,Architecture_code,Enhancement_spend_$m
202-000002017,Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,657-FISMA Management and Reporting,761-Security Management,7-Service Types and Components,0,4.0
202-000002025,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,589-Multimedia,742-Visualization,7-Service Types and Components,0,0.0
202-999990010,Non Major,058-Recreational Resource Management and Tourism,117-Natural Resources,1-Services for Citizens,526-Reservations / Registration,703-Customer Initiated Assistance,7-Service Types and Components,0,0.0
202-999993100,Non Major,026-Scientific and Technological Research and Innovation,109-General Science and Innovation,1-Services for Citizens,590-Mapping / Geospatial / Elevation / GPS,742-Visualization,7-Service Types and Components,0,0.0
202-000002015,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,0,20.0
202-999993200,Non Major,101-Budget Formulation,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
202-000001102,Non Major,129-Reporting and Information,402-Financial Management,4-Management of Government Resources,598-Ad Hoc,745-Reporting,7-Service Types and Components,0,0.0
202-000001018,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,597-Decision Support and Planning,744-Business Intelligence,7-Service Types and Components,0,0.0
393-000000031,Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,0,1.974
393-000000004,Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,515-Customer / Account Management,701-Customer Relationship Management,7-Service Types and Components,0,0.0
393-000000036,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,563-Document Imaging and OCR,732-Document Management,7-Service Types and Components,0,1.27
393-000000007,Non Major,115-Rule Publication,306-Regulatory Development,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
393-000000040,Major,115-Rule Publication,306-Regulatory Development,3-Support Delivery of Services to Citizens,573-Information Sharing,733-Knowledge Management,7-Service Types and Components,0,0.0
393-000000013,Non Major,127-Collections and Receivables,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
393-000000016,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,567-Document Review and Approval,732-Document Management,7-Service Types and Components,0,0.575
393-000000038,Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,1.864
393-000000001,Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
393-000000002,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
393-000000003,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
393-000000010,Non Major,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,566-Library / Storage,732-Document Management,7-Service Types and Components,0,0.0
393-000000006,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,0,0.0
393-000000042,Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,574-Categorization,733-Knowledge Management,7-Service Types and Components,0,3.226
393-999991219,Funding Contribution,141-Record Retention,404-Information and Technology Management,4-Management of Government Resources,563-Document Imaging and OCR,732-Document Management,7-Service Types and Components,0,0.0
393-000000005,Non Major,181-Central Records and Statistics Management,315-General Government,3-Support Delivery of Services to Citizens,525-Self-Service,703-Customer Initiated Assistance,7-Service Types and Components,0,0.0
393-999990060,Funding Contribution,113-Public Comment Tracking,306-Regulatory Development,3-Support Delivery of Services to Citizens,567-Document Review and Approval,732-Document Management,7-Service Types and Components,0,0.0
393-000000044,Non Major,109-Official Information Dissemination,305-Public Affairs,3-Support Delivery of Services to Citizens,528-Assistance Request,703-Customer Initiated Assistance,7-Service Types and Components,0,0.0
393-000000012,Non Major,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
393-999991171,Funding Contribution,124-Accounting,402-Financial Management,4-Management of Government Resources,621-Billing and Accounting,753-Financial Management,7-Service Types and Components,0,0.0
393-999991151,Funding Contribution,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
393-999990220,Funding Contribution,122-Travel,401-Administrative Management,4-Management of Government Resources,620-Travel Management,752-Human Resources,7-Service Types and Components,0,0.0
393-000000008,Major,139-IT Infrastructure Maintenance,404-Information and Technology Management,4-Management of Government Resources,636-Computers / Automation Management,754-Asset / Materials Management,7-Service Types and Components,100,0.0
393-999991245,Funding Contribution,250-HR Strategy,403-Human Resource Management,4-Management of Government Resources,610-Recruiting,752-Human Resources,7-Service Types and Components,0,0.05
393-000000043,Non Major,121-Security Management,401-Administrative Management,4-Management of Government Resources,617-Personnel Administration,752-Human Resources,7-Service Types and Components,0,0.0
393-000000032,Non Major,103-Enterprise Architecture,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,537-Requirements Management,721-Management of Process,7-Service Types and Components,0,1.98
393-000000039,Non Major,107-Management Improvement,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,535-Change Management,721-Management of Process,7-Service Types and Components,0,0.0
393-000000024,Non Major,102-Capital Planning,304-Planning and Budgeting,3-Support Delivery of Services to Citizens,546-Portfolio Management,723-Investment Management,7-Service Types and Components,0,3.368
