"Unique Investment Identifier","Business Case ID","Investment Type","Infrastructure Management Category","Agency Code","Agency Name","Investment Title","Performance Metric ID","Agency Performance Metric ID","Metric Description","Unit of Measure","Performance Measurement Category Mapping","Agency Baseline Capability","Target 2018 PY","Target 2019 CY","Measurement Condition","Reporting Frequency","Agency Strategic Objective / Agency Priority Goal","Latest Performance Metric Actual Id","Latest Agency Performance Metric Actual Id","Latest Actual Result","Latest Actual Result Comment","Latest Actual Result Date","Is Closed?","Metric Updated Date","Metric Updated Time"
029-666666700,1849,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Memorials Automation",28242,"	1902118848","Percentage of Self Service Pre-Need applications submitted through the Vets.gov automated system. The goal of the MBMS system is to increase Veteran access to benefits through streamlined, efficient automated services. Calculation: [(# of applications submitted through Vets.gov/ total number of applications received) *100].",Percentage,"2 - Strategic and Business Results",9.000000,2.000000,10.000000,"Over target",Monthly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",239013,"	1903180481",19.770000,"In the month of February 2019, 674 Pre-Need applications were received via Vets.gov. An additional 2,735 applications were received via mail and fax.",2019-03-15,n,2019-02-27,19:12:52
029-777777502,1850,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Supply Chain Management",26411,"	1709076113","Software product quality will be measured by the percentage of releases/deployments that are not rolled back during installation.",Percent,"2 - Strategic and Business Results",100.000000,90.000000,91.000000,"Over target",Semi-Annual,,231860,"	1810014992",100.000000,"All of the software releases were deployed successfully with no rollbacks.",2018-10-01,n,2018-11-29,14:46:52
029-777777502,1850,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Supply Chain Management",26413,"	1709076116","Meeting the business need will be measured by the percentage of approved enhancement requests that are deployed via updated patches.",Percent,"1 - Customer Satisfaction (Process Results)",100.000000,90.000000,91.000000,"Over target",Semi-Annual,"029SO18130 - VA will institutionalize data supported and performance focused decision making that will improve the quality of outcomes",231861,"	1810014993",100.000000,"All of the released software patches included enhancements that were requested and approved by the business users.",2018-10-01,n,2018-11-29,14:46:52
029-777777502,1850,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Supply Chain Management",27054,"	1711208091","Each month, the project working group will review the submitted application change requests. If there are any requests that can't be reviewed or given a disposition because there are no stakeholders/SMEs with the required expertise,  then the requests will be carried over to the next month. This metric will measure the percentage of change requests that are reviewed and given a disposition by the project's working group against the total number of requests submitted for review.",Percentage,"2 - Strategic and Business Results",50.000000,80.000000,81.000000,"Over target",Monthly,,239023,"	1903049732",64.000000,"One request could not be given a disposition because additional amplifying information is needed from the requestor. Also, some of the requests were submitted at the end of February and won't be reviewed until the next CCB meeting in March.",2019-03-04,n,2018-11-29,14:46:52
029-777777502,1850,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Supply Chain Management",28012,"	1809114777","To improve inventory management, Prosthetic and Sensory Aids Service (PSAS) will transition prosthetic supply management from the local Prosthetics Inventory Package (PIP) to the enterprise-wide Generic Inventory Package (GIP), which uses the Advanced Prosthetic Acquisition Tool for integration of PSAS processes. Increase the percent of issued prosthetic devices from GIP. (Count number of prosthetic devices issued in GIP divided by the count of devices issued in PIP plus GIP).",Percent,"2 - Strategic and Business Results",,,90.000000,"Over target",Monthly,"029SO18130 - VA will institutionalize data supported and performance focused decision making that will improve the quality of outcomes",239024,"	1903049741",35.870000,"The Prosthetics community continues to increase the percent of issued prosthetic devices from GIP.",2019-03-04,n,2018-09-21,15:18:52
029-777777502,1850,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Supply Chain Management",28013,"	1809114778","Half of all Veterans served by VHA receive prosthetic devices, sensory aids, durable medical equipment, implantable devices, biologics, home oxygen services, adaptive equipment and services. The Advanced Prosthetic Acquisition Tool reduces Veteran wait times in receiving prosthetic devices.  Maintain or decrease the average days to complete a prosthetic request consult.",Days,"2 - Strategic and Business Results",,,8.000000,"Under target",Monthly,"029SO18130 - VA will institutionalize data supported and performance focused decision making that will improve the quality of outcomes",239025,"	1903049742",2.800000,"The Advanced Prosthetic Acquisition Tool (APAT) continues to reduce Veteran wait times in receiving prosthetic devices.",2019-03-04,n,2018-09-21,15:18:52
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26385,"	1709086205","The number of major milestones completed.  This metric is strategic and business results and demonstrates s the effectiveness of the investment to deliver the required functionality identified in the roadmap.",Count,"2 - Strategic and Business Results",4.000000,1.000000,3.000000,"Over target",Quarterly,,239015,"	1903069873",2.000000,"VBMS Release 16.1 was successfully released to production on 2/10/19. As of 2/10/19, two releases has been successfully released to production in FY19.",2019-02-10,n,2018-11-30,13:12:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26386,"	1709086206","The timeliness of all program actionable acquisition packages.   This metric is activity specific and measures the investment against its defined resource management process standards.",Percentage,"2 - Strategic and Business Results",100.000000,96.000000,96.500000,"Over target",Quarterly,,239016,"	1903069874",96.000000,"Timeliness of all actionable program acquisition packages as a percentage as of February 2019.",2019-02-28,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26387,"	1709086207","Operational average of transaction response time of Regional Offices (ROs).",seconds,"2 - Strategic and Business Results",6.233000,6.500000,6.400000,"Over target",Monthly,,239017,"	1903069875",5.626000,"Operational average of transaction response time at ROs as of February 2019.",2019-02-28,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26388,"	1709086208","Percentage of system availability.  This metric tracks results in improved technology and innovative practices as it relates to performance testing and proactive monitoring.",percentage,"2 - Strategic and Business Results",100.000000,96.000000,97.000000,"Over target",Monthly,,239018,"	1903069876",100.000000,"Percentage of system availability as of February 2019.",2019-02-28,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26389,"	1709086209","Percent of new disability compensation claims completed in VBMS using deployed functionality.",percentage,"2 - Strategic and Business Results",98.200000,0.081000,0.900000,"Over target",Quarterly,"029SO18127 - VA's infrastructure improvements, improved decision-making protocols, and streamlined services enable VA to agilely adapt to changing business environments and veteran needs",239019,"	1903069877",98.300000,"New percent of new disability compensation claims completed in VBMS using deployed functionalities as of February 2019.",2019-02-28,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26390,"	1709086210","Percentage of service desk tickets associated with software defects. This metric speaks to improved software quality, testing and training which directly impacts product quality and customer satisfaction.",percentage,"1 - Customer Satisfaction (Process Results)",0.640000,0.100000,0.070000,"Over target",Quarterly,,239020,"	1903069879",2.070000,"Percentage of service desk tickets associated with software defects as of February 2019.",2019-02-28,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26391,"	1709086211","This measurement measures progress of paper documents being integrated into the VBMS system.",Unit,"2 - Strategic and Business Results",751838414.000000,500000000.000000,775000000.000000,"Over target",Semi-Annual,,239021,"	1903069880",825910828.000000,"Actuals as of 03/04/19.",2019-03-04,n,2018-11-29,20:02:37
029-666666402,1851,"01 - Major IT","01 - Not Applicable","	029","Department of Veterans Affairs","Veterans Benefits Management",26392,"	1709086218","Record daily unique users. This metric measures the maximum number of daily unique users within the cycle.",count,"2 - Strategic and Business Results",21595.000000,20000.000000,21000.000000,"Over target",Monthly,,237279,"	1902128871",21709.000000,"Record daily unique users as of February 2019.",2019-02-05,n,2018-11-29,20:02:37
